timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1781766341800,0.3175,-0.1246,2.7027,0.5423,-0.071,-0.0221
1781766341816,0.2812,-0.093,-0.3084,0.5304,0.3448,-0.033
1781766341837,0.0519,0.6628,-2.0367,-0.0091,0.3862,-0.0347
1781766341856,0.2367,0.7225,-1.2141,-0.3013,0.0844,-0.0929
1781766341876,0.4895,0.2993,0.0283,-0.1863,-0.2175,-0.1366
1781766341898,0.1828,0.2239,-0.2754,-0.0773,-0.3518,-0.133
1781766341916,0.058,0.0954,-0.0645,-0.1449,-0.291,-0.0989
1781766341936,0.0765,0.0958,0.4843,-0.1373,-0.1055,-0.0628
1781766341957,0.1032,0.1131,0.2719,-0.1159,0.0368,-0.0581
1781766341976,0.0451,0.2588,0.0286,-0.1662,0.0641,-0.0425
1781766341998,0.0451,0.2588,0.0286,-0.1671,0.0291,-0.0522
1781766342016,0.07,0.2162,0.5077,-0.0727,-0.0585,-0.0736
1781766342037,0.0166,0.1863,0.8179,0.0453,-0.1307,-0.081
1781766342057,0.1137,0.1707,0.6406,0.1301,-0.0623,-0.0861
1781766342077,0.1396,0.1954,0.324,0.125,0.0546,-0.0959
1781766342097,0.1396,0.1954,0.324,0.0475,0.1297,-0.0896
1781766342116,-0.1773,0.111,-0.2062,-0.032,0.0759,-0.0351
1781766342137,-0.123,0.1621,0.0909,0.0086,-0.0715,0.0221
1781766342157,0.1322,0.1099,0.1349,0.0739,-0.1975,0.03
1781766342176,0.269,0.0272,0.0128,0.0903,-0.2149,0.0117
1781766342197,0.269,0.0272,0.0128,0.0878,-0.2919,-0.001
1781766342216,0.0207,-0.3046,0.4795,0.153,-0.3044,0.0061
1781766342237,-0.1564,-0.4826,0.5984,0.2501,-0.3809,0.0205
1781766342257,-0.8118,-0.8705,0.3157,0.3722,-0.5611,0.0999
1781766342276,-0.8118,-0.8705,0.3157,0.5619,-1.0894,0.3084
1781766342297,-1.4865,-1.4899,0.1569,0.8815,-1.8761,0.7379
1781766342316,-2.302,-1.8226,0.1856,1.3311,-3.0924,1.3438
1781766342336,-2.3388,-2.529,0.4606,1.8995,-4.3047,1.8113
1781766342357,-1.6458,-3.9022,0.6652,2.3118,-5.182,2.217
1781766342377,-1.4931,-4.669,0.3443,2.4174,-5.5825,3.0125
1781766342396,-2.2932,-5.0691,0.32,2.4945,-4.9103,3.7097
1781766342417,-1.6983,-4.8583,0.666,2.4573,-3.6185,3.9142
1781766342436,0.5033,-3.3215,0.3602,2.2632,-2.4534,3.4745
1781766342456,1.3627,-1.2249,-0.5274,1.8305,-1.7482,3.1008
1781766342476,0.4783,0.1453,-1.3899,1.4683,-1.2104,2.8936
1781766342496,-0.26,-0.0336,-1.0616,1.3033,-1.0325,2.586
1781766342517,-0.8881,0.0664,-0.9259,1.2305,-1.2643,2.5658
1781766342537,-1.2279,0.1086,-1.2091,1.1316,-1.4174,2.6814
1781766342556,-0.2901,0.3137,-1.5434,-0.6882,-2.0366,-1.1999
1781766342576,9.6918,12.0801,-8.7301,-1.1179,-0.5775,-1.2667
1781766342596,6.734,3.083,-1.6681,-1.1179,-0.5775,-1.2667
1781766342615,1.3896,1.3603,1.4613,-1.0331,0.9943,0.473
1781766342637,-0.8267,-0.8475,1.5281,-0.309,0.3556,0.7123
1781766342656,-1.4564,-0.5428,3.4658,1.1117,-0.5698,1.2706
1781766342676,-3.7408,-0.9197,4.2551,1.9764,-2.0593,1.5517
1781766342697,-3.4947,-0.8532,1.3316,1.9764,-2.0593,1.5517
1781766342717,-3.2066,-0.6074,-0.8523,1.8717,-2.9529,2.0533
1781766342736,-2.52,-0.2115,-0.8273,1.4113,-2.854,1.9705
1781766342755,-1.4355,0.9121,-2.1884,0.6409,-2.5491,1.5852
1781766342777,-0.0046,1.5155,-4.1295,-0.6235,-2.142,1.14
1781766342797,1.1424,2.8117,-5.7048,-0.6235,-2.142,1.14
1781766342817,0.7667,1.8712,-3.2277,-2.1157,-0.8724,2.0289
1781766342836,0.6444,0.9661,-0.7804,-1.6976,-0.3388,2.3156
1781766342856,0.0088,-0.0094,0.7798,-0.8822,-0.8808,2.6524
1781766342877,0.4363,-1.2837,1.3007,-0.4841,-1.4075,3.5976
1781766342897,-0.9652,-1.6869,0.4203,-0.4841,-1.4075,3.5976
1781766342916,0.6276,-0.5736,2.1885,-0.3274,-0.9021,4.0947
1781766342936,3.2349,1.9751,0.6936,-0.6975,-0.1489,3.1402
1781766342956,-0.7304,0.3699,0.6829,-1.0993,-0.0728,2.7987
1781766342976,-2.0597,-0.4218,-1.1107,-1.3704,0.7546,3.1439
1781766342995,-0.7933,-1.3475,-0.8979,-1.441,1.6068,3.8371
1781766343017,3.1245,-0.5735,-0.825,-0.7053,1.4942,3.7818
1781766343037,3.3086,1.4868,-0.9902,0.1521,0.8707,3.0905
1781766343056,2.7376,3.0478,-1.2809,0.3209,0.6241,2.9791
1781766343077,1.8691,3.6857,0.483,0.0839,0.9432,2.8731
1781766343098,0.413,2.3822,1.5381,-0.365,1.3738,2.8032
1781766343116,0.5388,2.2942,0.5859,-0.291,0.8689,2.382
1781766343136,0.1527,5.8141,0.8712,0.0804,0.1244,2.0882
1781766343157,1.1693,3.7746,-2.3678,0.3299,-0.0735,1.489
1781766343176,0.6146,3.3248,-1.909,-0.4006,0.2532,1.2157
1781766343196,2.1016,2.6253,0.2284,-0.645,1.2978,0.6777
1781766343217,0.8393,1.0522,-1.3684,-0.7775,1.9982,0.2824
1781766343236,1.6174,-4.2328,1.5536,0.3081,1.5352,-0.4843
1781766343256,1.4385,-6.6428,4.5522,0.9317,0.8862,-0.7677
1781766343276,-2.0889,-5.001,-1.2179,0.4253,0.7791,0.2489
1781766343297,-2.1038,-1.5132,-3.2102,-0.6698,-0.1248,1.5906
1781766343317,-1.7555,-0.4619,-1.4379,-1.0391,-0.6449,2.7081
1781766343336,-1.1241,-1.3234,0.5806,-0.891,-0.9423,3.6905
1781766343357,0.4063,-0.7447,1.1002,-0.3426,0.1661,3.9239
1781766343376,2.8699,-1.3053,0.6896,0.0946,1.4113,3.5728
1781766343396,4.3234,-1.1744,1.0918,0.2519,0.8248,2.6209
1781766343416,3.753,-0.6651,-0.4599,-0.1948,-1.3984,1.5841
1781766343437,2.7902,1.0216,0.005,-0.117,-1.1043,1.1073
1781766343456,3.6398,-1.9224,-2.2801,-0.1927,-0.2347,0.5801
1781766343477,0.449,-3.3614,-2.3283,-0.961,-0.2489,0.2189
1781766343499,0.0284,-0.9835,1.9185,-0.769,-0.6734,0.2086
1781766343517,-0.5476,-0.1787,2.1238,-0.598,-0.9379,0.339
1781766343536,0.3709,0.7394,0.555,-0.4244,-0.8163,0.4892
1781766343556,3.4094,12.603,0.9895,-1.8494,0.6119,0.774
1781766343577,-0.0583,-6.2284,1.3935,-0.5024,-1.0868,0.4655
1781766343597,-0.2543,-4.6621,1.9378,0.1139,-0.4542,-0.1325
1781766343616,-1.2676,-6.1922,-1.6426,-0.151,0.0657,-0.2842
1781766343637,-0.6752,-1.5299,-2.3762,-0.186,0.3911,-0.1063
1781766343657,-0.298,-1.4463,-0.959,-0.194,-0.3934,0.0451
1781766343676,0.5543,-0.7155,-0.0953,-0.0047,-0.6445,0.1244
1781766343696,0.8665,-0.4176,-0.2685,-0.0606,-0.3393,0.0941
1781766343716,0.8359,1.178,-0.5389,-0.1902,-0.0157,0.1487
1781766343737,-0.4231,-0.2051,-1.1585,-0.2631,0.2842,-0.1509
1781766343756,-1.1635,-0.3158,-1.7251,-0.7836,0.5531,-0.7812
1781766343777,-0.6676,0.9276,-2.0683,-1.2047,1.1595,-0.822
1781766343796,-0.7212,1.7742,-0.8144,-1.1828,1.2953,-0.8936
1781766343816,-0.5498,2.188,0.3165,-1.1555,0.9855,-0.8489
1781766343837,-1.5203,2.2743,-0.5943,-0.6882,0.7043,-0.7956
1781766343856,-2.2686,1.9624,-1.6126,-0.7262,0.6832,-0.6268
1781766343876,-1.2338,1.0581,-1.8846,-1.2952,0.2724,-0.5179
1781766343896,-0.2362,3.0247,-0.7517,-1.2031,1.183,-0.3639
1781766343917,0.2046,1.2001,-1.3344,-1.1412,1.1041,-0.2514
1781766343936,-0.2876,-1.669,-1.2293,-1.6195,-0.1478,-0.0693
1781766343956,-2.3888,-2.7519,0.4943,-1.6989,-0.9709,0.1388
1781766343977,-4.1995,-2.1008,1.9886,-1.3352,-0.5981,0.2858
1781766343996,-4.3579,-2.1124,2.0339,-0.8184,-0.2192,0.3421
1781766344017,-3.7745,-3.0541,0.8228,-0.3707,-0.384,0.3973
1781766344037,-3.0677,-4.1591,0.0107,-0.0342,-0.6017,0.4455
1781766344056,-3.5513,-5.917,-0.7958,0.2278,-0.9916,0.464
1781766344077,-5.2499,-7.1679,-2.1025,0.4459,-1.0729,0.4231
1781766344096,-6.8299,-6.6522,-3.0854,0.6404,-1.0057,0.4855
1781766344116,-6.8299,-6.6522,-3.0854,0.8668,-0.7486,0.5263
1781766344137,-5.3494,-1.9654,-2.1794,1.0519,-0.3509,0.5619
1781766344157,-4.4681,0.5021,-1.4122,1.0859,-0.223,0.6395
1781766344176,-2.9657,3.0276,-0.0464,0.9553,-0.3172,0.7066
1781766344197,-0.8585,5.2808,2.4548,0.7026,-0.4926,0.7705
1781766344216,1.0863,7.1304,4.5705,0.6392,-0.8275,0.9711
1781766344237,3.4492,8.8172,4.9858,0.9454,-0.6373,1.1424
1781766344257,6.0128,10.4645,3.2101,1.2148,-0.3352,1.1207
1781766344276,8.8892,12.6808,0.7061,1.0895,-0.0677,0.9288
1781766344297,12.1038,11.2923,-1.9315,0.6931,-0.3826,0.3977
1781766344316,12.4086,7.8764,-2.8256,0.7655,0.5681,-0.3773
1781766344337,8.3491,6.0247,0.526,0.9505,0.9537,-0.7765
1781766344357,6.1154,4.2797,-0.7111,0.7225,0.2545,-1.0003
1781766344376,0.7039,-4.3837,2.1599,0.9116,-1.1501,-0.7684
1781766344397,-8.7272,-16.1092,3.3886,0.3883,-0.3195,-0.0105
1781766344417,-8.7272,-16.1092,3.3886,-0.2336,1.483,0.2879
1781766344437,1.341,1.555,-2.9328,-0.3839,2.9281,0.3547
1781766344456,5.0591,-1.5486,1.0431,-0.0297,1.5342,-0.0478
1781766344477,2.1515,-15.7198,-6.0442,0.2638,0.1349,-0.1511
1781766344497,5.0665,-24.1469,-4.2183,-1.01,-0.3325,-0.0689
1781766344517,11.1028,-3.9461,3.0965,-1.3635,-1.5292,-0.3151
1781766344535,7.7359,0.9808,7.8715,-1.2121,-1.3395,-0.2852
1781766344557,1.2246,-2.8242,12.4703,0.192,0.5409,-0.4345
1781766344576,-1.9273,-4.155,10.6631,1.7041,0.5226,-0.2627
1781766344596,-3.2394,-1.515,2.8195,1.855,-0.3648,-0.0904
1781766344617,-2.3441,-2.916,-6.8862,0.7862,0.3353,0.1382
1781766344636,1.4989,-4.4091,-2.0951,0.292,0.3198,0.2673
1781766344657,6.0064,-3.1672,-0.9886,0.3985,-0.0408,0.1427
1781766344677,8.089,-0.8734,-1.9064,0.2071,-0.1505,-0.2773
1781766344696,8.089,-0.8734,-1.9064,-0.2309,0.0577,-0.59
1781766344717,6.914,0.9944,-2.6836,-0.7154,0.294,-0.9025
1781766344737,3.823,3.2381,-4.0718,-1.1271,0.5162,-1.3004
1781766344756,3.823,3.2381,-4.0718,-1.3551,0.7652,-1.6095
1781766344777,3.2368,5.3272,-3.5075,-1.4859,1.3062,-1.8068
1781766344797,2.4704,7.0221,-2.1693,-1.7008,2.4838,-1.8923
1781766344817,0.5648,8.4967,-0.0766,-1.7008,2.4838,-1.8923
1781766344837,-2.3982,9.7297,3.9211,-0.4539,1.9767,-1.4694
1781766344856,-3.777,10.6367,4.9456,0.1611,1.0775,-1.1959
1781766344877,-5.181,7.1601,3.316,0.3258,-0.7385,-0.7976
1781766344897,-6.7364,-1.2698,1.0982,-0.0383,-1.8462,0.1397
1781766344917,-6.8594,-8.7643,1.0451,-0.0383,-1.8462,0.1397
1781766344936,-6.3798,-13.8285,-1.8694,-0.5787,-0.6806,-0.3779
1781766344955,-3.7869,-6.6373,-5.5973,-0.5395,0.4758,-0.3438
1781766344977,-3.5502,-7.0,-7.7178,-0.6544,-0.5259,-0.1343
1781766344996,-5.6457,-11.0067,-8.1765,-0.7509,-1.3251,0.2972
1781766345017,-4.2179,-8.5521,-5.2229,-0.7562,-1.2322,0.6045
1781766345037,-2.6857,-7.9311,-2.4915,-0.5497,-0.7915,0.7478
1781766345056,-4.2264,-7.7989,-0.2938,-0.1558,-0.5418,0.7506
1781766345077,-5.7402,-4.0981,0.4541,0.5079,-0.5948,0.7661
1781766345096,-6.618,-0.6691,0.4094,0.9305,-0.6232,0.9544
1781766345116,-5.4589,1.0715,-0.8211,0.8662,-0.6758,1.0002
1781766345137,-3.1192,0.9635,-1.1358,0.6859,-0.4495,0.9343
1781766345156,-0.8959,1.3412,-0.0253,0.6515,-0.4167,0.9332
1781766345176,0.3034,3.5248,1.7056,0.7349,-0.7823,1.0338
1781766345197,1.6683,6.3528,4.0939,0.9302,-0.9256,1.1308
1781766345217,3.1397,8.4234,5.331,0.9302,-0.9256,1.1308
1781766345237,4.5035,9.9974,3.8508,1.1415,0.0005,1.1602
1781766345256,6.0481,12.1357,1.4495,0.8046,-0.6505,1.0491
1781766345276,7.5221,14.0392,1.4789,0.2074,-1.6661,0.9038
1781766345297,9.2836,12.2624,-3.8663,-0.1684,-0.257,0.3773
1781766345316,11.6877,7.9768,-2.4895,-0.1684,-0.257,0.3773
1781766345337,10.1828,4.3924,2.3761,0.5478,1.0125,-0.7575
1781766345357,6.3334,2.1674,-2.095,0.9123,0.6132,-0.8578
1781766345376,-1.016,-5.5937,4.7818,0.9123,0.6132,-0.8578
1781766345397,-9.0509,-19.3305,5.2108,0.3774,0.5115,-0.4348
1781766345417,-6.9814,2.0556,-2.7848,0.2603,1.0512,0.2935
1781766345436,0.902,3.0154,-2.6085,-0.1796,2.318,0.2945
1781766345457,-0.4114,-13.8639,-1.4168,0.0929,1.1889,-0.09
1781766345477,-0.8638,-29.2142,-8.02,-0.4859,0.2013,0.0455
1781766345497,11.3098,-9.3557,-0.4376,-1.255,-0.3994,-0.0414
1781766345517,10.2976,0.2122,6.6909,-1.2381,-1.0707,-0.1397
1781766345536,4.6506,-1.8174,10.9349,-0.4101,0.0141,-0.2651
1781766345557,-2.162,-6.4566,12.5388,1.1607,1.3178,-0.0286
1781766345576,-1.723,-3.1103,5.7143,1.6257,-0.6518,0.3818
1781766345596,0.1756,-2.1596,-2.6132,1.1434,-0.5293,0.4297
1781766345617,4.6531,-2.51,-3.4496,0.3423,-0.0226,0.2628
1781766345637,7.7891,-2.4829,-2.0413,0.1101,0.0874,0.0002
1781766345657,7.9911,-0.8715,-2.7951,-0.1902,0.2207,-0.4748
1781766345676,5.1199,1.4439,-2.1391,-0.6271,0.0947,-0.6662
1781766345696,3.3061,3.5706,-1.7097,-0.8952,0.1607,-0.8046
1781766345718,2.3839,5.6415,-2.1465,-1.1287,0.4278,-1.0333
1781766345736,2.1164,7.5883,-2.1485,-1.3459,0.9163,-1.3375
1781766345756,1.3721,9.7808,-0.9241,-1.5176,1.8256,-1.5677
1781766345776,-0.6335,10.5082,1.6009,-1.4006,2.908,-1.5563
1781766345796,-1.8215,11.1597,3.619,-1.016,3.413,-1.3612
1781766345816,-1.4827,11.1363,3.9505,-0.489,2.6617,-1.11
1781766345837,-2.2054,6.8986,1.0734,0.3394,1.2584,-1.1195
1781766345856,-5.224,-6.538,0.579,1.1103,-1.2336,-0.9702
1781766345877,-4.9106,-19.3502,2.0668,1.1347,-2.959,-0.0196
1781766345897,-3.7924,-13.844,-3.558,0.1576,-1.6306,-0.2183
1781766345917,-2.5199,-1.2224,-7.4316,-0.0307,-0.4376,-0.4096
1781766345937,-4.6898,-6.9268,-3.7495,-0.0326,-0.1585,-0.2057
1781766345956,-5.0975,-13.4294,-4.9945,0.0056,-0.6146,-0.1257
1781766345977,-2.6214,-9.7128,-7.5635,-0.2942,-1.0933,-0.0984
