timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1781766141816,0.0,0.0,0.0,-0.0031,1.1264,0.0794
1781766141856,2.0138,0.0179,-2.7515,-0.0031,1.1264,0.0794
1781766141897,2.3987,-0.4698,-3.4446,1.5088,4.78,-1.3317
1781766141937,2.496,-0.0563,-4.3403,1.5913,5.7275,-2.0855
1781766141976,2.1028,0.3559,-2.4133,2.802,6.6792,-2.8735
1781766142016,0.1162,-0.5311,-2.2184,2.2455,5.306,-4.4153
1781766142057,-5.1319,-0.9115,0.0239,2.4551,3.4929,-4.1863
1781766142097,-6.5337,-1.3595,-1.6301,2.3451,2.2852,-3.5956
1781766142137,-8.5111,0.9366,-1.7987,2.3305,1.3292,-2.9285
1781766142176,-7.6082,2.2212,-4.3237,1.6652,0.9694,-2.2003
1781766142217,-13.0614,4.5209,-3.6423,1.493,0.6408,-1.6072
1781766142257,-9.0643,4.8915,-7.4517,0.5742,-0.4801,-0.1863
1781766142296,-4.7667,4.9534,-8.3808,-0.317,-0.1796,0.5828
1781766142336,-6.8485,6.8735,-0.7071,0.5565,1.0751,1.8069
1781766142377,-2.4955,3.7521,-1.2951,0.6585,1.0091,1.7086
1781766142417,3.3823,2.8161,0.7504,0.8002,0.0886,0.9322
1781766142457,7.3932,-0.472,-2.045,0.7776,0.3903,-0.1906
1781766142497,3.3361,1.1164,-1.7316,0.9475,0.3971,-0.3995
1781766142537,-1.0194,2.0395,-4.7138,0.4533,0.8693,0.1045
1781766142577,-3.0327,4.0909,2.2022,0.3384,0.8296,0.5815
1781766142616,-2.5113,-0.8975,-0.9672,0.1906,-0.2193,-0.2596
1781766142656,4.6542,0.0393,-6.9927,-0.2437,1.6463,-0.9108
1781766142696,-3.4855,-0.6545,1.551,-1.6591,-0.6487,-1.6677
1781766142736,-3.523,0.3985,-3.054,-1.5266,-0.1582,-0.7471
1781766142776,-2.1294,0.3043,-1.9341,-0.314,-0.3482,0.1698
1781766142816,-1.671,-0.2801,-1.9916,0.9578,0.7098,0.1228
1781766142857,-0.7086,0.6202,-0.3354,0.9713,-0.9566,0.901
1781766142896,24.5444,-15.871,10.0685,1.7795,1.6463,-0.7856
1781766142937,7.9748,1.5179,-5.4614,-0.6585,0.6475,-1.5595
1781766142976,3.2344,-1.223,0.5636,-0.3366,0.4331,-2.2743
1781766143016,2.3866,1.6978,-1.1135,-1.6799,-0.9108,-2.4429
1781766143056,-4.3472,-1.0829,-1.6765,-1.7972,-0.7746,-0.8589
1781766143096,-1.1705,2.6672,-2.9407,-1.6835,0.3018,1.3451
1781766143137,4.0981,-1.1041,0.34,-1.5302,-0.7141,-0.0415
1781766143176,-3.3395,3.7409,-0.8851,-1.3708,0.4074,0.5174
1781766143216,-4.5328,1.3004,-0.8157,-0.2083,0.7141,0.9914
1781766143257,-1.7359,2.7576,0.0006,1.3531,1.0452,0.1717
1781766143296,2.8276,2.0399,-2.135,-0.9426,-0.4374,-0.1918
1781766143337,0.9556,-0.8004,0.2484,-1.0599,-0.3421,-0.0287
1781766143376,3.3639,2.2466,-2.2636,-0.1906,0.5198,-0.1093
1781766143416,-0.0574,0.1744,-1.1913,-0.1142,0.8277,0.6261
1781766143457,1.8407,1.906,-1.4192,-0.4606,0.1765,1.0623
1781766143496,1.7584,2.03,-1.6458,-0.6347,0.3018,0.7068
1781766143536,-1.6337,1.4959,-1.3999,-0.8607,0.2663,0.8094
1781766143576,-0.5735,1.7439,-1.0083,-0.1484,0.4985,1.3402
1781766143616,0.6527,5.4657,-1.1115,-0.223,0.6041,1.1606
1781766143656,0.1006,1.8318,-0.6374,-0.1912,0.4038,0.755
1781766143696,0.3807,0.6749,-1.0816,-0.4527,0.2413,0.9047
1781766143736,-0.227,1.1622,-1.6218,-0.4887,0.2651,0.6946
1781766143776,-0.7657,1.1194,-1.7323,-0.4643,0.3916,0.5669
1781766143816,-0.6741,0.9991,-1.6184,-0.537,0.4313,0.4362
1781766143857,-1.0668,1.8611,-1.5713,-0.4765,0.2205,0.3812
1781766143896,-0.7149,1.3108,-1.5639,-0.3879,0.0177,0.4313
1781766143936,-0.6082,1.2761,-1.9276,-0.2706,-0.0128,0.256
1781766143977,-1.1867,1.0232,-2.7417,-0.1185,0.1289,0.1014
1781766144016,0.0811,2.9748,-2.2707,-0.3738,-0.226,-0.2242
