timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1781765695376,1.4658,-0.1801,-0.4752,0.2627,-0.1021,-0.406
1781765695393,0.646,-0.3266,-1.3121,0.1082,-0.4361,-0.3785
1781765695414,0.2331,-0.0701,-0.956,0.0094,-0.638,-0.3661
1781765695434,0.1001,0.0439,0.2039,0.1114,-0.6856,-0.4045
1781765695455,0.1097,0.0246,1.1118,0.3378,-0.444,-0.4508
1781765695475,-0.1656,-0.1145,0.6705,0.405,-0.3369,-0.4834
1781765695494,-0.4316,-0.1141,-0.0804,0.2852,-0.3583,-0.5047
1781765695514,-0.4766,-0.1275,-0.4922,0.0512,-0.4037,-0.4896
1781765695533,-0.5159,-0.1427,-0.313,-0.1086,-0.4367,-0.4739
1781765695554,-0.6851,-0.3194,-0.0131,-0.1256,-0.4424,-0.4106
1781765695575,-0.903,-0.3415,0.0622,-0.0405,-0.401,-0.3159
1781765695594,-0.7814,-0.2218,-0.1872,-0.0095,-0.3646,-0.2765
1781765695614,-0.6178,-0.0641,-0.6279,-0.0994,-0.3296,-0.285
1781765695634,-0.8252,0.0298,-0.7311,-0.1759,-0.4397,-0.2789
1781765695654,-0.9676,0.154,-0.1127,-0.0674,-0.5327,-0.2757
1781765695675,-0.9506,-0.0866,0.0816,0.0806,-0.4941,-0.2661
1781765695694,-1.4974,-0.7159,-0.4776,0.0498,-0.5266,-0.1153
1781765695714,-1.2174,-0.1767,-0.9346,-0.0759,-0.4333,-0.0531
1781765695734,-1.0943,-0.1465,-1.0582,-0.2344,-0.442,-0.0641
1781765695754,-1.0688,-0.2592,-0.6297,-0.1886,-0.5283,-0.132
1781765695774,-1.6205,-0.7928,-0.4347,-0.0549,-0.7169,-0.0502
1781765695794,-1.8388,-1.2845,-0.616,0.0958,-1.0597,0.1122
1781765695814,-2.3471,-1.5204,-0.5252,0.336,-1.4419,0.2526
1781765695834,-2.5304,-1.8882,-0.2517,0.6472,-1.7646,0.371
1781765695854,-1.4591,-2.3265,-0.6604,0.8155,-1.8941,0.3096
1781765695875,-1.4591,-2.3265,-0.6604,0.8155,-1.8941,0.3096
1781765695894,-0.6866,-3.3726,-3.4439,0.1242,-1.6715,0.0872
1781765695914,-1.1936,-3.7938,-4.0439,-0.3892,-0.8385,0.1115
1781765695933,-1.7754,-4.6414,-4.7726,-0.8855,0.0234,0.5338
1781765695954,-1.2037,-5.656,-5.6535,-1.4361,-0.2404,1.1132
1781765695976,-1.2037,-5.656,-5.6535,-1.4361,-0.2404,1.1132
1781765695994,-3.9455,-6.6579,-6.5235,-1.529,-3.6579,2.9011
1781765696014,-4.4923,-5.9237,-5.3287,-0.8569,-4.8975,3.7283
1781765696034,-2.4737,-7.0101,-3.9967,0.2572,-6.2103,4.2938
1781765696054,-0.183,-8.2365,-2.0263,1.5001,-7.2748,4.6396
1781765696075,-0.183,-8.2365,-2.0263,1.5001,-7.2748,4.6396
1781765696094,-0.42,-7.5501,-0.643,1.996,-7.1682,5.3945
1781765696114,5.7958,-6.0461,2.0691,1.6769,-3.4077,5.7342
1781765696134,8.8869,-4.2435,2.1632,1.3794,-1.8115,5.4425
1781765696154,8.8869,-4.2435,2.1632,1.3612,-0.9393,4.5586
1781765696176,12.7701,-1.9212,2.6302,1.3612,-0.9393,4.5586
1781765696194,14.3982,0.2473,2.1539,1.4323,-0.7914,3.4023
1781765696214,13.9294,1.6331,1.1029,1.2905,-0.688,2.5535
1781765696234,13.0986,1.7318,0.2958,1.5975,-2.7714,1.1192
1781765696254,13.3319,4.7619,-2.6638,1.5975,-2.7714,1.1192
1781765696274,8.1524,1.2856,0.3762,1.8839,-2.4174,1.1476
1781765696293,6.7193,2.6361,0.6842,1.6674,-1.9198,0.9678
1781765696314,7.3731,4.5014,-5.3979,0.4056,-0.9523,0.3015
1781765696334,3.4329,3.0201,-4.2683,-0.581,1.3834,-0.1492
1781765696354,1.206,1.1345,-1.005,-1.039,2.8056,-0.1767
1781765696374,-0.1658,0.4874,2.0371,-0.6811,3.5961,0.2124
1781765696394,-0.1592,1.2982,0.6742,-0.2448,3.5416,0.4008
1781765696414,-0.4836,1.3141,0.2266,0.3723,2.3836,0.5045
1781765696434,-1.734,2.1266,-2.4054,0.482,0.994,0.5603
1781765696454,-1.5594,0.9863,-1.733,0.5339,0.2452,0.712
1781765696474,-1.9541,0.3376,-0.3547,0.6105,-0.1129,0.9235
1781765696494,-1.5586,0.6524,0.6277,0.6276,-0.1464,1.0382
1781765696514,-1.3408,1.3666,0.8738,0.5822,0.0917,1.0705
1781765696534,-0.6395,2.076,-1.0491,0.2457,0.4598,0.9721
1781765696554,-0.4292,2.2245,-0.8699,0.0095,0.7016,0.8396
1781765696574,-1.5349,-0.2114,-0.1036,-0.1361,0.6406,1.1102
1781765696594,-2.0608,-1.9947,-0.0786,-0.4233,0.0025,1.5412
1781765696614,-2.0824,-0.0624,0.1906,-0.4357,-0.6356,1.9767
1781765696635,-1.2015,2.0546,0.137,-0.1919,-1.3296,2.2974
1781765696654,1.0447,0.7411,0.4852,-0.0178,-1.7591,1.9994
1781765696674,1.1277,1.67,-0.3455,-0.1377,-1.6302,1.6556
1781765696694,-0.474,0.6027,-0.9819,-0.4716,-1.6474,1.4522
1781765696714,-1.0267,0.4939,-0.432,-0.8363,-2.0732,1.235
1781765696734,0.0485,0.7651,0.0987,-1.2111,-2.4791,1.031
1781765696754,-2.2025,1.5893,-1.1126,-1.9968,-2.3047,1.4298
1781765696774,-2.1019,2.4431,-0.3262,-2.2263,-1.2342,1.4448
1781765696794,1.8634,1.2376,1.5262,-1.7242,-0.6665,0.7964
1781765696814,4.5549,-0.8115,1.6738,-1.3579,-0.0903,-0.1996
1781765696834,2.3467,-3.4225,-0.2535,-1.7838,0.2456,-0.6008
1781765696854,0.9713,-2.0675,0.1771,-1.8454,1.1474,-0.3149
1781765696874,-0.246,-1.8395,-0.4545,-1.382,1.6688,0.2223
1781765696894,-0.3249,-2.2678,-0.716,-0.5291,0.963,0.3189
1781765696914,-1.0182,-3.0735,0.1275,0.1211,0.228,0.9152
1781765696934,-3.0285,-4.2527,0.8063,0.2293,0.3064,2.2008
1781765696954,-5.6806,-5.7431,1.1742,0.0166,0.9257,4.0679
1781765696975,-1.3949,-2.3317,1.6794,0.1625,1.4067,4.6959
1781765696994,2.6052,3.0794,1.0011,0.36,1.6067,4.1285
1781765697014,6.0775,6.5166,-0.3576,0.5569,1.2275,3.0252
1781765697034,5.3092,6.286,-1.4017,0.6236,0.5616,2.0886
1781765697054,4.3032,3.3735,-1.0831,0.3648,0.3473,1.6177
1781765697074,1.6751,1.9451,-0.2985,-0.2359,0.7466,1.7282
1781765697094,1.3806,4.3053,-0.1327,-0.686,0.7775,1.6838
1781765697114,2.0196,9.4016,2.5577,-1.0094,0.7097,1.0143
1781765697134,4.9831,6.5177,-2.4179,-2.0044,0.2947,-0.8109
1781765697154,1.636,-1.1726,1.0966,-1.9241,0.1148,-1.7172
1781765697174,-6.216,-9.71,1.8312,-1.3016,-0.1045,-0.7394
1781765697194,-3.6537,-10.6758,2.3909,-0.0084,-0.0346,0.4418
1781765697214,0.617,-6.4815,-1.2124,0.4526,0.2799,0.819
1781765697234,0.6891,0.7366,-3.1951,0.2216,0.6372,0.6199
1781765697254,1.247,-1.4502,-0.9862,0.0908,1.3593,0.4186
1781765697274,0.6561,-3.1663,0.5875,0.2347,0.6057,-0.0683
1781765697294,-0.4405,-0.7256,1.34,-0.1121,0.0602,-0.1944
1781765697314,-1.2583,0.4165,1.2195,-0.5752,-0.4424,0.0555
1781765697334,-1.0411,1.352,1.2112,-0.7729,-0.7943,0.3209
1781765697354,-0.5618,1.3806,0.8934,-0.5463,-0.637,0.5835
1781765697374,0.4393,0.7854,0.9628,0.0299,-0.117,0.6577
1781765697394,1.2592,0.2031,0.2984,0.2696,0.2422,0.7697
1781765697414,0.82,-0.2523,0.7401,0.0567,0.1029,0.8726
1781765697434,-0.6463,-0.1939,-0.0916,-0.2237,-0.2948,1.0176
1781765697456,-0.8458,0.0659,0.1271,-0.2083,-0.628,1.2458
1781765697476,-0.3114,-0.27,0.3097,-0.1225,-0.6419,1.3432
1781765697494,-0.2337,-0.4143,0.0892,-0.1002,-0.3925,1.3539
1781765697514,0.1276,-0.4028,-0.0868,-0.1361,-0.3227,1.1352
1781765697534,0.3847,-0.5687,0.0323,-0.1828,-0.2323,0.7756
1781765697554,0.3547,-0.5635,0.2856,-0.2151,-0.0245,0.19
1781765697574,0.1103,0.1551,0.4561,-0.2156,0.1108,-0.2866
1781765697594,-0.8885,3.0332,-0.3616,-0.7038,-0.2278,-0.198
1781765697613,-0.905,4.7354,0.83,-0.5023,-0.0055,-0.1826
1781765697634,-0.8939,5.2919,0.9532,-0.0167,0.1005,0.0945
1781765697654,-0.7513,4.0035,0.1616,0.1364,0.152,0.4773
1781765697673,-0.6573,1.7037,1.635,1.474,1.0789,1.011
1781765697694,-1.8748,12.4102,1.3838,1.7728,1.1812,0.9471
1781765697714,0.1751,2.7731,-1.2774,0.703,-0.1218,0.1978
1781765697734,-2.8576,-4.7043,-4.2043,-0.7396,-0.3048,-0.025
1781765697754,1.1608,-23.8915,-2.4113,-2.5131,-0.3268,0.8187
1781765697775,1.2857,-4.5228,5.5516,-1.4413,0.0511,0.5365
1781765697794,0.9595,-3.0608,5.9447,-0.0155,0.0231,0.0979
1781765697814,-0.6046,-0.5254,-0.7005,0.7897,-0.203,-0.0056
1781765697834,-0.6439,0.5028,-1.623,0.9439,-0.0988,0.1612
1781765697854,-0.4482,-0.7174,-0.8575,0.6933,-0.2249,0.1776
1781765697874,-0.5234,-0.5927,-0.2242,0.3008,-0.0655,0.3011
1781765697894,-0.1582,0.4656,0.4064,0.0567,-0.1167,0.401
1781765697914,0.2439,0.3665,1.0869,0.0856,-0.386,0.5252
1781765697935,-0.1198,0.2231,1.4301,0.2712,-0.3314,0.6927
1781765697954,-0.2876,0.0873,0.8146,0.4,-0.2868,0.9023
1781765697974,-0.0597,0.3841,0.0965,0.3292,-0.161,1.0285
1781765697994,0.3306,0.6265,-0.7916,0.104,-0.3255,1.1827
1781765698014,0.6258,0.0785,-0.9064,-0.1207,-0.1434,1.3325
1781765698033,0.8004,-0.7501,-0.5764,-0.2468,-0.1675,1.6182
1781765698054,-0.961,-1.5738,-0.0814,-0.2065,-0.4303,0.7102
1781765698074,-1.29,0.1068,-0.5196,-0.0876,0.2197,0.6544
1781765698094,0.7744,-0.1239,-1.053,-0.369,0.0038,0.9719
1781765698114,0.9728,-0.866,0.5926,-0.3472,0.0593,0.7269
1781765698134,0.2771,-1.6277,1.0231,-0.1,0.1164,-0.011
1781765698154,0.128,-1.5102,0.2812,0.1615,0.2008,-0.1417
1781765698174,1.0573,1.3124,-0.4219,0.0987,0.2618,-0.083
1781765698195,1.0573,1.3124,-0.4219,0.0987,0.2618,-0.083
1781765698214,0.1106,0.9567,0.5725,0.1889,0.1138,-0.0506
1781765698234,-0.1571,0.7875,0.8427,0.2125,-0.0652,0.0892
1781765698254,0.2458,0.9811,0.1472,0.013,0.0128,0.7052
1781765698274,0.668,1.215,1.3068,-0.0432,-0.1746,1.048
1781765698294,0.2639,-0.573,0.3577,0.0455,-0.0107,0.9122
1781765698314,0.5893,-0.671,-0.0999,0.0308,0.0738,0.9255
1781765698334,0.6884,-0.9,0.0758,-0.0522,0.1127,0.814
1781765698354,0.2999,-0.6806,0.3505,-0.1459,0.0105,0.7467
1781765698374,0.0122,-0.6088,0.3469,-0.232,-0.1013,0.6445
1781765698395,0.0122,-0.6088,0.3469,-0.232,-0.1013,0.6445
1781765698414,-0.1181,-0.505,0.24,-0.1969,-0.1001,0.3269
1781765698434,0.2513,-0.5893,0.7117,-0.1141,-0.2797,0.1571
1781765698454,0.1709,-0.9137,1.0205,-0.0698,-0.4074,-0.0587
1781765698474,0.1043,-0.0898,0.4342,0.0214,-0.3465,-0.1223
1781765698495,0.1043,-0.0898,0.4342,0.0214,-0.3465,-0.1223
1781765698514,-0.0806,-0.3091,0.4896,0.0374,-0.2476,-0.1913
1781765698534,0.1915,-0.6268,0.7439,-0.0637,-0.458,-0.2409
1781765698554,0.3195,-0.9641,1.0067,0.0438,-0.3945,-0.4008
1781765698574,0.0229,-0.2623,1.1229,0.3729,-0.5994,-0.5013
1781765698594,0.7173,0.7698,0.465,-0.0324,-1.5939,-0.4213
