timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1781765971018,0.419,-1.2312,-1.2551,0.5113,0.3179,0.0794
1781765971036,-0.2423,-0.4368,-1.6842,0.2426,-0.2389,0.0934
1781765971056,-0.2281,0.0971,-0.7425,0.0138,-0.7546,0.0453
1781765971077,0.0845,-0.3662,-0.1322,-0.0572,-0.9092,0.0488
1781765971096,0.1485,-0.364,0.4582,-0.0747,-0.916,0.0894
1781765971118,0.21,-0.3352,0.596,0.0195,-0.7725,0.1831
1781765971137,0.2801,-0.4271,0.0544,0.1275,-0.5023,0.1656
1781765971156,0.1631,-0.2207,-0.2591,0.1933,-0.3388,0.0391
1781765971176,-0.1137,-0.2235,-0.8149,0.1247,-0.2991,-0.0044
1781765971197,-0.1461,-0.3403,-0.9828,-0.0488,-0.2605,-0.0293
1781765971217,-0.1461,-0.3403,-0.9828,-0.1951,-0.2482,-0.0473
1781765971236,-0.0787,-0.3947,-0.0812,-0.2103,-0.0927,-0.0853
1781765971257,-0.4647,-0.671,-0.3355,-0.1956,-0.0239,-0.0889
1781765971276,-0.8539,-0.8824,-0.7871,-0.242,-0.1456,0.0011
1781765971296,-1.4189,-1.0118,-1.2555,-0.3258,-0.3707,0.2205
1781765971316,-1.4189,-1.0118,-1.2555,-0.3674,-0.6594,0.5173
1781765971337,-0.9638,-1.3131,-0.2517,-0.2175,-0.9747,0.7722
1781765971356,-0.3244,-1.4888,-0.2907,0.083,-1.0084,0.8773
1781765971377,-0.4816,-1.9236,-0.6709,0.4099,-1.2195,0.9144
1781765971397,-0.997,-3.076,-1.2005,0.6519,-1.6292,1.2152
1781765971416,-0.997,-3.076,-1.2005,0.891,-2.6182,1.8849
1781765971437,-2.5475,-5.4123,-3.2288,1.1194,-4.0579,2.7894
1781765971456,-2.5475,-5.4123,-3.2288,1.2534,-5.5975,3.522
1781765971476,-4.3511,-6.2228,-3.5864,1.4709,-6.4525,3.3981
1781765971496,-4.2682,-5.4368,-1.5475,1.831,-6.3247,3.7988
1781765971517,-3.8825,-5.8754,0.1983,2.0869,-5.7286,4.4138
1781765971537,-2.2309,-5.753,0.5232,2.1061,-4.9754,4.7959
1781765971556,-1.563,-4.5129,-0.2947,2.0172,-4.3636,4.7284
1781765971576,-0.8869,-3.2044,-0.8129,1.918,-4.2358,4.7143
1781765971596,-0.597,-3.5052,-0.9016,1.8444,-3.8767,4.8243
1781765971617,0.5925,-3.3427,-0.5554,1.6252,-3.0166,4.6467
1781765971637,2.1483,-3.0241,-0.1504,1.2785,-2.0344,4.4428
1781765971656,3.4724,-2.4743,0.4741,1.1201,-1.0494,4.3179
1781765971676,4.6851,-1.672,0.3545,0.9599,-0.3613,3.8402
1781765971696,5.2775,-1.06,-1.0536,0.6709,-0.1409,3.3741
1781765971718,4.4507,-1.0577,-2.3648,0.6709,-0.1409,3.3741
1781765971736,4.1436,-1.4474,-2.2998,0.2488,-0.6136,3.1507
1781765971757,4.4649,-0.8197,-1.5188,0.1035,-1.716,2.9431
1781765971775,6.6996,0.8103,-3.8922,-0.9678,-2.4619,2.0449
1781765971797,15.0133,4.8767,-11.2458,-2.9724,1.6223,0.9129
1781765971817,14.5316,1.8454,-5.3917,-2.9724,1.6223,0.9129
1781765971837,5.3077,-0.6324,4.4519,-2.1773,2.7957,0.3746
1781765971857,1.0574,-0.763,6.0386,-0.8033,1.2624,0.6123
1781765971876,0.0613,0.3086,5.4796,-0.0391,-0.1481,0.7733
1781765971897,-0.2938,0.2984,3.0528,-0.1512,-0.7882,1.0874
1781765971917,-0.2888,0.4564,2.0888,-0.1512,-0.7882,1.0874
1781765971937,0.9123,-0.3326,3.3724,-0.6578,-0.5112,1.4366
1781765971956,1.4758,-0.7472,3.2011,-0.9579,-0.0071,1.5834
1781765971976,2.8217,-1.3269,2.2579,-0.9579,-0.0071,1.5834
1781765971996,2.9276,-0.9321,0.2236,-0.6759,1.2508,0.7136
1781765972016,1.5366,-0.7336,-1.1561,-0.3768,0.7339,0.345
1781765972035,0.0032,-1.6454,-3.1442,-0.3768,0.7339,0.345
1781765972057,0.293,-2.0089,-2.9775,0.3213,-0.3871,0.1608
1781765972076,1.4329,-2.1859,-1.7296,0.3213,-0.3871,0.1608
1781765972097,2.5576,-1.1944,-0.8074,0.541,0.2296,-0.0944
1781765972119,1.805,0.2964,-2.3844,0.541,0.2296,-0.0944
