timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1781766559686,0.0,0.0,0.0,1.7917,3.6634,-1.9309
1781766559726,-6.4432,-1.1666,-0.3463,1.7917,3.6634,-1.9309
1781766559767,1.4867,-0.1201,-0.2835,1.9994,0.9303,-0.9071
1781766559806,-0.6491,-0.3203,0.5915,2.4068,0.774,-0.3946
1781766559846,1.3272,1.985,-9.4463,-1.4502,-0.6206,-0.4893
1781766559886,-1.2575,-0.6468,3.4916,-0.1594,0.3244,0.6976
1781766559927,1.5752,-1.3358,1.686,-0.1729,0.0568,-0.1075
1781766559966,-0.5378,0.7011,0.61,-0.5095,-0.0574,0.8027
1781766560006,2.4428,-3.7521,2.1916,-0.4972,-0.3097,0.1747
1781766560046,-7.7065,3.4735,-1.0668,0.1741,0.7831,1.4765
1781766560086,5.0525,-5.2988,1.5901,0.5687,0.2541,0.212
1781766560126,1.905,-1.8553,0.5691,-0.0641,-0.6836,-0.5565
1781766560166,-0.3473,-3.7572,0.2602,1.0574,0.7428,-0.5602
1781766560206,0.9588,-2.2038,-0.0922,0.9493,0.7819,-1.0647
1781766560246,8.5601,-3.293,0.7456,-0.8839,-1.0898,-3.3066
1781766560286,4.9221,-2.945,7.6596,-1.0519,-0.6781,-2.6322
1781766560326,-8.0199,0.8607,-1.2797,-0.7642,0.0586,-0.8888
1781766560366,0.257,-3.3745,-0.0737,-0.515,0.3622,-0.9475
1781766560407,-1.5082,-0.7689,1.8067,0.135,-0.3842,-1.7501
1781766560446,12.8102,5.0669,1.3076,-1.1857,-2.1087,-2.0934
1781766560487,-1.0992,-5.2047,4.8873,0.0696,0.1894,-1.7459
1781766560526,-1.2927,-4.1572,-1.2523,1.0324,-0.201,-0.9975
1781766560566,0.4503,-1.1211,-0.7457,0.3238,0.5675,0.0617
1781766560606,-4.7165,-4.5686,2.6308,-0.3115,-0.5357,0.5608
1781766560646,9.5555,4.8177,-1.4773,-0.4844,0.157,-0.7715
1781766560686,2.3467,1.5466,1.4206,0.2071,-0.0611,0.1332
1781766560726,-0.5413,-0.769,1.0176,0.7282,0.1417,0.0043
1781766560766,1.6841,-2.4086,1.033,-1.2132,0.0031,-0.1478
1781766560806,2.3761,-1.3546,0.9378,0.1478,0.3738,-0.7184
1781766560846,1.978,4.8639,2.6448,1.0458,0.4777,-1.5149
1781766560887,0.8615,0.6264,1.8178,1.2462,1.8729,-0.8412
1781766560926,1.1111,-0.9402,3.5196,0.8827,0.7453,-0.38
1781766560966,0.4843,-3.7237,1.408,0.2315,-0.4917,-0.3732
1781766561006,-0.3141,-5.5504,-0.0226,-0.2889,-0.0916,-1.0244
1781766561047,3.9697,3.0544,-0.2305,0.8027,0.6836,-2.1692
1781766561086,1.3479,-0.9567,0.1516,-0.4386,1.0495,-2.3097
1781766561127,0.4314,1.8886,3.1383,-0.0086,-0.4337,-0.2596
1781766561167,-0.4724,-0.0629,1.1988,-0.0959,-0.0299,0.036
1781766561206,2.8495,5.3889,2.8962,0.1991,0.2724,-1.5186
1781766561246,2.6904,-0.0959,1.3773,0.0464,1.2327,-2.5204
1781766561286,2.3059,5.6419,2.1092,-0.1912,1.8644,-2.9132
1781766561326,-0.2197,-4.959,0.1678,-0.617,1.149,-3.8992
1781766561366,1.5339,-4.5162,-0.1119,-0.609,0.1161,-0.931
1781766561406,1.8676,1.3718,-0.1181,-1.2034,-0.6041,0.4105
1781766561446,0.5413,-2.566,0.3277,-1.2358,-0.8656,1.4838
1781766561486,-0.0918,5.3159,3.0289,-0.9719,-0.6695,0.8607
1781766561528,0.4472,7.2087,4.9259,-0.8448,-0.0531,0.5583
1781766561566,1.1224,6.198,3.9356,-0.6958,0.0055,0.2773
1781766561607,2.9328,0.6644,-1.6005,-0.6542,-0.5455,0.3971
1781766561647,2.604,-9.4443,-3.4212,-0.6952,-0.6695,0.6206
1781766561687,-1.0953,-2.5945,-3.3437,0.2511,0.1356,-0.2975
1781766561727,-1.652,-10.1489,-3.9499,1.708,1.3378,-1.6884
1781766561766,1.7234,-18.4348,0.4972,2.4764,0.8204,-0.6194
1781766561806,5.2701,-11.9269,-0.7889,1.8949,-0.0531,-0.5461
1781766561846,2.2537,0.2244,1.908,1.1979,-0.92,-0.2676
1781766561886,-0.8977,9.9587,2.0239,0.4643,-0.2889,-0.0269
1781766561926,-1.5253,9.8207,-2.2824,-0.6946,-0.5589,0.1466
1781766561966,3.0284,10.1972,4.4403,-0.193,-0.515,0.1142
1781766562006,0.5401,8.2227,2.2199,-0.2969,-0.7917,0.0892
1781766562046,-1.3488,9.4667,2.9069,-0.0476,-0.7019,0.2126
1781766562086,0.8767,10.81,2.4675,0.201,0.047,0.0574
1781766562126,0.3676,9.2251,1.8568,0.2602,0.1588,0.2132
1781766562166,1.2467,-4.421,-11.8787,-1.5125,-0.0018,0.9475
1781766562206,2.1301,-7.1186,-5.2866,-1.7862,-0.7599,0.3329
1781766562247,-8.5388,-26.2097,-0.7676,-1.2663,-0.7013,-0.295
1781766562286,-1.6433,-14.8421,0.7083,1.1777,1.4355,0.4319
1781766562326,11.3954,-13.7409,2.0722,2.1783,1.7617,-0.6817
1781766562366,6.0618,0.3714,0.5971,1.5009,0.0806,-1.1875
1781766562406,-0.9181,8.8816,1.317,0.6909,-0.8375,-0.9407
1781766562446,-4.9597,9.7142,-1.1818,-0.7727,-0.5498,-0.2456
1781766562486,-0.9237,9.8504,3.3835,-0.1491,0.0947,0.1668
1781766562526,-0.6344,7.5607,2.7539,-0.1161,0.0556,0.3366
1781766562566,-1.0013,8.6467,4.0947,0.1313,0.2841,0.3335
1781766562606,0.3192,10.0853,3.3124,0.1442,0.1949,0.1998
1781766562646,3.335,9.2859,2.2452,0.2957,0.6329,0.1491
1781766562686,3.3215,7.1984,0.123,-0.3091,0.171,0.1014
1781766562726,2.7783,-26.8264,-3.9125,-1.8998,1.2798,0.4429
1781766562766,10.2836,-7.0101,-4.5872,-2.3042,-2.5895,0.3451
1781766562806,-14.1198,-25.3106,0.0171,-0.0269,-1.774,1.0452
1781766562846,3.1145,-12.4085,0.5531,1.8466,1.3292,-0.5699
1781766562886,6.6304,-4.3849,-0.4037,2.0323,0.7892,-0.8772
1781766562927,2.3522,7.8241,-0.7325,1.0177,-0.7446,-0.8851
1781766562966,-3.3925,8.5954,-3.2799,-0.7813,-0.4771,-0.3885
1781766563006,-2.2285,11.3593,6.7313,-0.4691,0.3537,0.3005
1781766563046,-1.2806,9.0858,3.4002,-0.077,-0.1765,0.485
1781766563086,-0.4907,8.2445,3.1028,0.3409,-0.1307,0.4808
1781766563126,-0.221,9.9083,3.0534,0.317,0.0287,0.2505
1781766563166,1.0259,9.0559,0.5992,0.2217,0.2669,0.2492
1781766563206,1.475,8.8907,0.7373,-0.0275,0.1875,0.496
1781766563247,2.5785,0.9358,-3.5188,-1.6023,0.3787,0.7465
1781766563286,3.8029,-26.3913,-4.5677,-1.2205,0.1307,0.1356
1781766563326,0.0862,-22.8677,2.1138,-1.8149,-2.3353,-0.4942
1781766563366,-6.7477,-15.3034,-2.0437,0.8351,0.5962,-0.2627
1781766563406,5.8619,-12.314,1.3237,2.2339,1.7923,-0.9041
1781766563446,6.8111,1.6434,-0.4999,1.821,0.0061,-0.9163
1781766563486,0.8237,8.9256,-1.0871,0.5528,-0.7715,-0.8076
1781766563526,-3.0509,10.2727,1.0474,-0.8998,-0.1674,-0.5198
1781766563566,-1.1583,10.4464,6.0801,-0.0403,-0.044,0.1637
1781766563606,-0.1611,8.6636,4.0956,0.2724,-0.4765,0.2639
1781766563646,-0.6933,8.5898,2.248,0.427,-0.4734,0.2254
1781766563686,-0.1122,9.2972,1.9822,0.3207,0.2053,0.025
1781766563726,0.1568,9.3624,0.7939,0.2957,0.361,0.1313
1781766563766,2.5562,9.0739,-0.6464,-0.1985,-0.3317,0.3464
1781766563806,12.3396,-22.0763,-14.8694,-1.8992,0.8253,0.5559
1781766563846,1.0158,-13.6011,-2.299,-2.204,-2.7477,0.4905
1781766563886,-4.9632,-22.2113,0.3547,-0.2028,0.2279,0.6212
1781766563926,-0.4735,-12.0767,0.2726,2.1551,1.295,0.2224
1781766563966,7.6253,-0.838,-0.2228,1.8161,0.7599,-0.0147
1781766564006,5.4737,6.9508,-5.0021,-0.1057,-0.1814,-0.642
1781766564046,-2.5233,12.8312,6.716,-1.2694,-0.0458,-0.38
1781766564086,-0.8682,11.8709,4.3278,0.0421,-0.6976,0.3274
1781766564127,0.7559,7.5545,2.1218,0.292,-0.493,0.2468
1781766564167,-2.6269,7.0875,3.1768,0.2694,0.0476,0.0672
1781766564206,-0.1398,10.3245,2.843,0.3873,0.4533,0.2309
1781766564246,1.0476,10.7044,1.27,0.27,0.3329,0.2957
1781766564286,2.8388,9.8962,0.1147,-0.2792,-0.3073,0.2053
1781766564327,8.5162,-6.4106,-14.4084,-1.8057,0.5339,0.5828
1781766564366,-8.3017,-13.5143,-4.2959,-1.6933,-2.6463,0.5394
1781766564406,-5.7961,-25.4608,1.9309,-0.5363,0.2272,0.6096
1781766564447,0.7453,-12.9527,1.5415,2.1515,1.1136,-0.1466
1781766564486,4.8897,-2.9645,1.2106,2.1209,0.73,-0.2205
1781766564527,7.1692,7.1685,-3.868,0.3641,-0.3512,-0.5376
1781766564566,-1.481,11.3735,1.7072,-1.5015,0.0012,-0.493
1781766564607,-1.2442,12.5286,5.2542,-0.347,-0.2944,0.0702
1781766564646,-1.1899,8.0005,3.2952,0.0983,-1.0281,0.5211
1781766564686,-1.3593,6.5176,2.1428,0.3176,0.2315,0.2156
1781766564726,0.9822,10.107,3.1324,0.2932,0.7892,-0.0922
1781766564766,0.7823,9.9308,1.4783,0.234,0.2529,0.179
1781766564806,3.0157,8.8767,0.7949,-0.3897,-0.2181,0.4227
1781766564847,3.4673,-7.5524,-11.8282,-2.1069,0.3122,0.7184
1781766564886,-3.1114,-6.7346,-2.8747,-1.4862,-3.0659,0.598
1781766564926,-14.8905,-31.7306,0.074,0.1344,0.7666,0.5449
1781766564966,3.6109,-11.2221,0.6516,1.9053,1.3323,-0.1277
1781766565006,2.9399,-1.2423,0.1946,1.8424,0.441,-0.3922
1781766565046,4.4209,7.8925,-2.6601,0.1729,-0.0916,-0.4661
1781766565086,-2.1378,11.2395,2.1529,-1.3885,0.292,-0.3818
1781766565126,-0.5545,11.8122,6.0353,0.0458,0.215,0.0275
1781766565167,-0.3331,7.9444,3.6913,0.2315,-0.0605,0.2834
1781766565206,-0.0015,7.3728,2.8496,0.1845,0.3635,0.3073
1781766565246,3.5372,9.3636,3.1879,-0.044,0.3873,0.2297
1781766565287,1.9421,9.0005,2.384,-0.4026,-0.2468,0.5272
1781766565326,3.6371,8.6214,1.7119,-0.551,-0.5345,0.7654
1781766565366,9.6612,-17.3741,8.8797,-1.7342,-0.6732,0.5669
1781766565406,-2.9801,-22.6571,-10.0861,-0.2999,-2.2877,0.1643
1781766565446,-3.5309,-20.5516,0.7989,-0.3934,0.405,0.7715
1781766565486,4.9262,-14.4189,3.2035,1.7233,0.5864,-0.0965
1781766565526,3.913,-0.8884,2.4876,1.6554,0.0623,-0.6316
1781766565566,1.899,8.8299,-2.0967,0.4563,0.1912,-1.0201
1781766565606,-0.8103,8.9584,-2.6845,-0.7642,0.1631,-0.5241
1781766565646,-3.4787,11.0434,3.6129,-0.1008,0.2169,0.1185
1781766565687,-3.1265,8.5675,4.4316,0.3207,0.6842,0.3757
1781766565726,0.2802,9.091,4.7464,0.8045,1.0843,0.0806
1781766565766,3.8225,10.4818,4.4092,0.7031,0.7508,-0.0599
1781766565806,4.9266,8.5151,1.6477,0.16,-0.0849,0.033
1781766565846,6.5219,1.7462,-6.6102,-1.8222,-0.0648,0.0531
1781766565886,1.6831,-33.562,-4.0779,-1.3873,-2.5626,0.4887
1781766565926,-10.7303,-31.8702,3.3852,0.504,-0.3696,0.9071
1781766565966,5.471,-13.9611,-0.3231,1.4203,-0.0073,-0.2712
1781766566006,5.9845,-2.0631,-0.4777,0.8137,-0.9963,-0.821
1781766566047,-0.4483,8.0458,-2.2177,-0.6304,-0.5003,-0.6652
1781766566087,-3.1706,11.4551,1.9319,-0.5015,0.3085,-0.0305
1781766566126,-1.9644,12.5584,3.1915,0.0031,-0.0519,0.1228
1781766566166,-1.6565,7.443,1.0498,0.2089,0.0177,0.383
1781766566206,-0.9683,7.2967,3.5361,0.0843,0.3183,0.2621
1781766566246,0.5455,9.7367,2.5792,-0.2077,0.3696,0.2718
1781766566286,1.4618,9.0711,0.8892,-0.7025,0.7263,0.3971
1781766566326,4.5898,3.231,-4.6229,-2.1197,0.6377,0.4746
1781766566366,-0.1401,-37.2118,-9.7727,-1.4062,-2.6328,0.6829
1781766566406,-10.4136,-29.8822,-1.0644,0.1833,0.3897,0.1527
1781766566446,-0.0355,-12.2423,1.7449,1.5925,0.5559,-0.1466
1781766566486,3.8981,0.0971,2.499,1.6335,-0.1313,0.0861
1781766566526,3.8583,7.4178,-2.1881,-0.317,0.0055,-0.4001
1781766566566,-0.4281,9.6261,0.0153,-0.7575,0.2217,-0.2388
1781766566606,-2.8415,12.3316,4.7771,0.1356,-0.011,0.0892
1781766566646,-1.8703,8.1968,2.9674,0.1955,-0.0483,0.3641
1781766566686,1.16,8.0719,3.7455,0.201,0.4991,0.193
1781766566726,1.911,9.9674,3.8015,0.0812,0.248,0.0379
1781766566766,2.8841,8.209,2.2532,-0.0965,0.0226,0.3201
1781766566806,7.9141,4.2867,-5.7569,-1.9615,-0.4313,-0.0006
1781766566846,24.6212,-37.682,-2.2847,-1.6915,-3.7251,-1.7678
1781766566886,-11.0872,-31.982,-4.6405,0.0348,0.4759,0.6762
1781766566926,3.7787,-17.8367,2.0719,1.6237,1.306,0.2505
1781766566966,6.957,-3.9311,1.9337,1.6347,-0.4594,-0.08
1781766567006,2.4112,7.6439,-2.3083,0.0996,-0.5174,-0.3787
1781766567046,-0.936,9.5224,-0.5202,-0.4618,-0.0531,-0.2615
1781766567086,-0.8844,12.1464,4.7433,-0.1704,-0.1234,-0.1368
1781766567126,-3.796,7.0529,1.7904,-0.1436,-0.2413,0.5479
1781766567166,-1.9429,7.6125,2.659,0.1057,0.6139,0.5577
1781766567206,-0.1373,10.4112,3.5015,0.0593,1.0427,0.5205
1781766567246,2.9743,9.5441,2.9265,-0.0599,1.179,0.6726
1781766567287,3.2269,7.6104,-0.2681,-1.3231,0.7141,0.6518
1781766567326,9.5474,-15.2424,3.3054,-0.336,0.6023,-1.1967
1781766567366,1.3871,-14.3305,-3.676,-1.4624,-1.397,-0.5968
1781766567406,-11.3135,-25.6456,3.3068,1.3415,1.576,-0.1075
1781766567446,5.3687,-9.5138,1.1907,2.1576,0.5675,-0.708
1781766567486,2.2344,0.5852,-1.1979,1.3732,-0.3977,-0.4184
1781766567526,5.592,9.0948,-2.8334,-0.8515,0.2847,-0.5675
1781766567566,-0.802,10.9101,3.8356,-0.5528,0.1032,-0.0629
1781766567606,-3.1837,10.336,4.1213,-0.025,-1.0825,0.5883
1781766567646,-1.0537,8.4163,3.3722,0.1723,-0.3745,0.5541
1781766567686,-0.2546,9.2206,2.8097,0.1026,0.1839,-0.0941
1781766567726,0.305,9.1374,2.6204,0.1503,0.0483,-0.0385
1781766567766,2.4848,8.7039,1.2306,-0.2456,-0.4557,0.3836
1781766567806,6.1351,7.2737,-2.9636,-1.7593,0.0556,0.3549
1781766567846,26.8438,-38.6479,15.5253,-1.474,-3.5833,-1.7434
1781766567886,-3.8781,-23.884,-4.2534,0.2724,0.6011,0.0941
1781766567926,0.044,-19.4556,0.8587,2.0659,1.8925,0.1295
1781766567966,8.162,-8.1032,1.0455,1.9493,0.2132,-0.2193
1781766568006,3.1694,6.5381,-3.4169,-0.157,-0.1411,-0.3971
1781766568046,0.9131,7.03,-3.1431,-1.3946,0.1118,-0.223
1781766568086,-3.9397,13.3965,7.6949,-0.1967,-0.3598,0.2395
1781766568126,-1.1649,9.7968,4.2193,0.3738,-0.011,0.5235
1781766568166,-0.2687,8.3559,2.3556,0.2737,0.631,0.2413
1781766568206,2.5649,8.842,2.8492,0.0874,0.3176,-0.044
1781766568246,1.0274,9.6425,3.3138,0.1173,0.0629,0.1338
1781766568286,1.0264,9.2518,1.9809,-0.2511,-0.0476,0.3946
1781766568326,2.2961,6.2538,-4.306,-1.8552,0.865,0.6536
1781766568366,10.5398,-31.4573,17.6714,-0.5864,-1.7422,-1.0183
1781766568406,10.3319,-26.5699,-6.5281,-0.8357,-0.4288,-0.2107
1781766568446,-3.1395,-19.4312,1.7439,1.9212,1.6725,-0.3445
1781766568486,3.5373,-9.1185,2.5481,2.2126,0.452,-0.4056
1781766568526,1.8291,3.9983,-4.467,0.38,-0.0061,-0.3128
1781766568566,4.566,5.9839,-5.9944,-1.5828,0.1881,-0.427
1781766568606,-2.9757,13.8261,6.9498,-0.3372,-0.2737,0.0513
1781766568646,-2.2998,10.9049,4.4713,0.1057,-0.5907,0.3916
1781766568687,-1.39,7.6515,3.5173,0.4239,0.5376,0.3158
1781766568726,1.3426,8.1017,3.498,0.2181,0.4533,0.0849
1781766568767,2.5413,10.0561,3.0416,0.1448,-0.1148,0.1723
1781766568807,1.8356,9.9381,2.0589,-0.2193,-0.5547,0.2834
1781766568846,2.8505,7.4173,1.5053,-1.0916,0.0092,0.3751
1781766568886,0.962,-16.056,-10.6473,-0.8234,0.9762,-0.4899
1781766568926,7.9422,-10.0303,3.7393,-1.4539,-2.0568,-0.7648
1781766568966,-15.0353,-27.3138,-0.0777,0.8125,0.6066,-0.1466
1781766569006,7.3231,-13.2815,1.7617,1.5174,-0.3494,-0.9902
1781766569046,0.4143,-0.2724,0.3747,1.1906,-0.7844,-0.719
1781766569087,-1.4947,10.1498,0.3697,-0.0678,0.5388,-0.4496
1781766569126,-0.7893,10.8921,-1.0035,-0.5235,0.4026,-0.2144
1781766569166,0.0231,10.3612,3.6389,0.0263,0.1515,0.1686
1781766569206,-1.4175,7.2497,3.6296,-0.0531,-0.4001,0.6103
