timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1781766339740,-0.2629,-0.5673,1.0933,-0.4849,-0.1391,-0.1424
1781766339780,0.999,-0.5437,-0.5666,-0.2392,-0.0528,-0.1776
1781766339820,0.3575,0.4739,0.5526,-0.671,-0.1574,-0.3433
1781766339860,0.3471,-0.3654,0.3027,-0.3935,-0.3273,-0.0027
1781766339900,0.3614,-0.0788,0.2659,0.1927,-0.3862,-0.551
1781766339940,0.8007,-0.4173,-1.3166,-0.1809,-0.3978,0.067
1781766339980,2.3994,-1.2412,0.7191,-0.6753,0.2061,0.3385
1781766340020,0.1487,0.627,-0.6462,-0.0262,-0.1968,0.5802
1781766340059,1.4526,-0.515,-0.2992,0.5501,0.4386,0.7125
1781766340099,1.1228,-1.2658,2.2393,1.9498,0.3101,0.0162
1781766340140,0.9573,-2.1274,-0.6448,1.9225,0.4074,-1.2734
1781766340180,3.7399,-2.9736,0.3425,2.13,1.4297,-1.885
1781766340220,1.1484,1.3181,-0.7901,1.2655,-1.3675,-1.9607
1781766340260,0.7189,-1.6753,-2.5419,0.1992,-2.6197,-0.6922
1781766340300,2.4954,-2.1324,-0.8229,0.1962,-2.3091,0.0118
1781766340339,0.9938,-2.0476,-3.1044,-0.665,-0.9893,-0.4286
1781766340380,-0.1066,-2.5405,0.4366,-1.436,-1.8222,0.6323
1781766340420,-1.0524,-5.761,-0.3162,-0.3322,-4.7763,0.3258
1781766340460,-5.1003,-4.6826,-4.5231,-0.186,-7.3397,0.5611
1781766340500,-8.2019,-4.4925,-2.8736,-1.3775,-7.6285,2.3241
1781766340540,-5.7536,-4.893,-1.0053,-2.3506,-5.4475,4.134
1781766340580,-0.0545,-4.0414,5.4411,-3.2465,-2.8549,4.7745
1781766340620,2.4821,-0.1091,8.1774,0.3179,-4.2391,3.425
1781766340659,11.7527,2.1821,3.7055,-1.0365,-1.0647,2.4399
1781766340700,11.7527,2.1821,3.7055,-1.0365,-1.0647,2.4399
1781766340740,12.0862,3.3602,-0.2848,-0.6614,-0.5003,1.0858
1781766340779,10.2595,3.7964,-2.2814,-1.2128,1.7802,0.2276
1781766340819,3.3336,-0.6475,-4.6909,-2.4941,2.2654,-2.2882
1781766340860,3.3336,-0.6475,-4.6909,-2.4941,2.2654,-2.2882
1781766340900,1.7098,0.1919,-1.799,-1.8605,2.9535,-1.8172
1781766340940,2.5856,-2.1666,0.2984,-1.0028,2.6119,-1.5057
1781766340980,-2.2331,-3.5821,5.0769,-0.3043,1.4557,-1.915
1781766341019,-4.958,-4.8972,8.5304,1.7588,-1.6849,-0.4305
1781766341060,-7.8135,-4.4333,3.6038,3.8074,-2.6782,0.7825
1781766341100,-6.9381,-1.1147,-2.5902,2.7994,-2.5137,1.4143
1781766341140,4.5349,-5.4019,-2.6764,-4.6731,3.3802,-1.7544
1781766341180,-0.3642,-1.2682,6.2847,-0.8979,-0.1674,-2.3835
1781766341220,-0.3642,-1.2682,6.2847,-0.8979,-0.1674,-2.3835
1781766341260,0.154,1.1016,-5.7642,-0.5726,0.3196,-0.053
1781766341300,-0.5843,-0.5711,-0.1306,-1.1825,1.677,-1.1238
1781766341339,-0.5843,-0.5711,-0.1306,-0.3133,0.3943,-1.212
1781766341380,-2.7443,1.1911,-2.541,0.1547,-0.9337,0.1894
1781766341419,0.1649,1.2029,-1.7052,0.2248,0.0382,-0.5525
1781766341459,-1.2992,2.0732,-2.0065,0.0116,0.305,-1.0869
1781766341499,-1.0565,1.2822,-4.6589,-1.2484,0.62,-0.4029
1781766341539,3.7832,-0.427,-0.102,-0.9866,0.4497,-0.5346
1781766341580,4.0765,-0.4833,-0.1882,-0.0096,0.4676,-0.9784
1781766341619,-0.01,-1.3512,1.4828,-0.7066,0.6507,-0.662
1781766341660,-2.8591,-2.9095,2.7296,0.3841,-0.283,1.0337
1781766341700,0.8516,-1.2398,1.0289,0.8182,-1.0452,0.7489
1781766341740,-1.0148,0.4548,-2.4107,-0.7347,1.1521,0.2734
1781766341780,-1.0405,1.3267,1.0702,-0.0418,0.505,-0.2098
1781766341820,2.8293,-0.4949,2.8939,1.1944,-0.9197,0.3061
1781766341860,-2.9513,0.531,-1.9985,0.1897,0.2985,0.6542
1781766341900,-3.4777,0.1865,-0.2948,-0.6809,1.2817,1.2052
1781766341940,0.4517,-0.1144,1.5685,-1.3893,1.7739,2.6773
1781766341980,7.2127,-3.1672,5.8866,-1.4793,1.5341,3.5751
1781766342020,-0.7174,-3.5768,-1.2407,-1.1888,1.5871,3.9969
1781766342060,-3.1571,0.0709,-1.1139,-1.0626,0.4803,3.332
1781766342100,-8.0656,5.313,0.5652,-1.0006,1.2265,2.6974
1781766342139,-1.0279,1.2673,-2.6762,-0.3116,-0.8621,0.8284
1781766342180,4.3286,3.6647,-0.5727,-0.9632,-0.06,1.2372
