timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1781766094859,0.168,-0.0469,1.5356,-0.042,0.2625,-0.5092
1781766094899,0.8633,-0.6765,-0.2408,-0.4111,0.9134,-0.5264
1781766094940,-0.4988,0.2249,0.7284,-0.143,0.264,-0.2076
1781766094979,-0.0544,-0.8782,0.7451,-0.143,0.264,-0.2076
1781766095019,-1.1937,-1.4485,-2.5188,-1.4618,1.3859,1.9308
1781766095058,-0.828,-0.8414,3.6871,-1.4888,0.6174,2.9521
1781766095100,6.3553,-2.1537,-1.9092,2.8367,-0.3563,-1.0067
1781766095139,6.3553,-2.1537,-1.9092,3.8926,1.9482,-1.7515
1781766095179,2.0673,-1.5192,-3.4075,1.3664,-0.7881,-1.6516
1781766095219,2.3662,-0.7097,1.6727,0.6291,-2.2368,-0.7317
1781766095258,1.6752,-2.6949,-1.7401,-0.453,-3.1683,-0.7449
1781766095299,1.1858,-3.1863,-1.0446,-1.7219,-1.3303,-0.6451
1781766095340,-1.965,-6.0288,-1.7778,-2.532,-2.3447,1.1979
1781766095379,-1.2013,-8.4011,-0.1195,-1.1333,-6.7108,-0.0471
1781766095419,-6.4002,-5.3601,-3.4342,-0.5789,-7.6806,1.1785
1781766095459,-7.2389,-3.7318,-2.4496,-2.1876,-7.5597,3.2793
1781766095499,-2.7583,-4.5999,1.6613,-2.6158,-6.2064,4.0993
1781766095539,3.2699,-1.0719,3.2754,-3.0466,-0.9033,4.2095
1781766095580,8.0843,0.8212,13.1982,-1.9889,-3.2112,0.855
1781766095619,6.0244,1.9699,6.3799,0.7976,-0.4033,0.7649
1781766095659,6.0244,1.9699,6.3799,0.7976,-0.4033,0.7649
1781766095699,8.8672,7.1203,-9.6461,-3.1717,1.9537,-1.4421
1781766095739,0.736,2.0368,6.5174,-1.3143,0.3567,-0.0767
1781766095779,0.736,2.0368,6.5174,-1.3143,0.3567,-0.0767
1781766095820,2.783,1.7204,2.803,0.4772,-1.5811,-0.3282
1781766095859,1.4424,-0.1176,-4.7154,-0.4117,-0.4529,0.3237
1781766095899,1.8071,-1.1177,0.0379,-0.0288,0.315,-0.3132
1781766095939,-0.1266,-0.9357,-0.5303,0.8577,-0.396,-0.9596
1781766095979,-0.8072,-0.2162,-0.7968,0.6813,-0.4215,-0.5952
1781766096020,1.6618,-0.4682,0.0305,0.5335,0.362,-1.1008
1781766096059,-1.6163,-0.2947,-0.7152,0.5335,0.362,-1.1008
1781766096099,-3.4453,-0.1039,-2.4453,0.238,-0.1128,-0.5649
1781766096139,0.7079,-1.0726,-0.634,-0.4891,0.1241,-1.0067
1781766096179,0.5959,0.1562,1.9903,-0.6515,0.0135,-0.5197
1781766096219,-0.607,0.5402,-3.5614,-0.8612,-0.0971,-0.1151
1781766096260,-1.4398,-0.8517,-0.4584,-0.417,-0.3787,-0.2438
1781766096299,-1.4398,-0.8517,-0.4584,-0.7647,-0.1831,0.2767
1781766096339,-0.5728,1.5997,0.7826,-1.0412,0.0792,0.304
1781766096379,-3.0007,1.4425,1.0167,-1.4502,0.55,0.8263
1781766096419,1.2299,0.2701,3.5762,-1.7477,0.8279,1.9181
1781766096459,1.7941,-1.8933,0.285,-1.9636,0.9099,2.7799
1781766096499,-0.5117,-1.14,-0.5649,-2.4576,2.02,3.8889
1781766096539,-1.0249,2.6557,4.1929,-2.7602,2.1107,3.5961
1781766096579,-1.8727,3.8172,0.0747,-2.2594,1.0659,3.0849
1781766096619,-0.3285,4.1848,-2.7982,-2.1815,1.4111,1.8295
1781766096659,1.7723,-0.0349,-2.9359,-1.4368,3.8698,1.2616
1781766096699,-0.6325,-1.4568,2.9929,-0.2028,2.8553,0.6421
1781766096739,3.4586,-7.3934,-3.953,-0.0065,0.1598,0.1532
1781766096779,3.7535,0.3825,-0.7626,-1.2656,1.4141,-0.6698
1781766096819,1.59,3.1091,0.1363,-0.0822,1.2304,0.8722
1781766096859,0.6485,1.247,-1.2852,0.3579,0.0066,1.3091
1781766096900,2.7332,1.0597,-1.6103,-0.1069,0.9847,0.16
1781766096940,-2.1022,6.4101,-2.0576,-0.4312,0.3463,0.5512
1781766096979,-2.0997,12.0031,0.1427,0.2669,1.0249,1.4035
1781766097019,-2.4076,1.4195,-0.1647,0.6117,1.4875,3.7877
1781766097059,-1.0897,-4.2073,-0.7559,-0.5349,1.0052,4.7144
1781766097099,4.5121,-10.0503,-0.5689,-0.2994,-0.3907,2.0595
1781766097139,4.6335,-2.0682,-0.0268,1.1907,1.1886,1.2844
1781766097180,8.1448,-11.2916,-10.9935,-0.4994,0.6244,0.3698
1781766097218,2.9869,-0.5662,-2.2382,-2.625,-0.6654,-2.063
1781766097259,-0.3314,0.619,3.9277,-1.9719,-0.4524,-1.5157
1781766097299,0.0224,-2.9866,4.5858,-0.79,-1.6419,-1.7583
1781766097339,0.2797,-2.3866,1.265,-0.6314,-2.3042,-1.875
1781766097379,-0.8257,-1.287,0.8718,-0.7031,-1.6619,-1.7789
1781766097420,-2.4125,-0.3619,0.6335,-0.601,-1.9805,-1.4837
1781766097459,-2.3516,1.1624,1.1938,-0.759,-2.7095,-0.8154
1781766097499,-2.3867,2.5901,2.5339,-0.5829,-2.5429,-0.169
1781766097539,-3.2487,4.0658,3.0104,-0.5228,-2.5887,0.4508
1781766097579,-4.5942,4.0056,3.2972,-0.175,-2.3207,1.1974
1781766097619,-4.0718,2.699,0.1229,-0.0247,-1.6847,1.41
1781766097659,-1.729,1.4978,-0.3033,0.1405,-1.204,1.282
1781766097700,1.1714,-1.1979,-0.7587,0.1715,-0.4033,0.7026
1781766097738,1.6272,-2.3859,-4.0589,0.2209,0.8241,0.0987
1781766097779,-0.1834,0.4844,-2.4711,0.5165,0.314,-0.3098
1781766097819,-2.0217,-7.572,-3.6865,1.1926,0.1631,-0.5198
1781766097859,-5.3348,-7.0153,3.1038,-0.4261,0.5128,-1.0183
1781766097899,-6.9685,8.2682,3.7781,0.771,2.1256,0.1883
1781766097940,-0.4669,6.5076,5.1386,1.5422,3.2058,0.2774
1781766097979,-1.6742,-5.8189,4.487,1.9838,3.7425,0.5519
1781766098019,0.973,-1.1134,0.894,1.8264,4.0102,0.0488
1781766098059,-0.6549,1.6075,0.6881,0.8285,3.5061,-0.1798
1781766098098,-1.0653,1.5563,2.6915,0.6566,4.6838,-0.5341
1781766098139,-4.2261,-0.7567,3.5026,0.7022,4.5927,-0.1652
1781766098179,-0.7704,-0.7378,4.5026,0.2524,4.5127,0.3016
1781766098220,1.7711,1.5879,5.18,0.5227,4.4618,0.3446
1781766098259,2.671,-0.4221,4.3793,0.9975,4.3031,0.2059
1781766098299,3.7046,-1.1719,1.2332,0.9202,3.7182,-0.1395
1781766098339,3.1786,0.1702,0.8966,0.3904,3.5613,-0.2854
1781766098379,2.831,-0.3828,0.7125,0.284,3.0541,-0.2379
1781766098419,1.5869,0.7573,-2.0925,-0.0475,3.3006,-0.5574
1781766098459,-0.8865,0.9109,1.9927,-0.7697,3.7257,-0.0012
1781766098499,0.495,-0.0164,5.1357,-0.4217,3.4596,0.1242
1781766098539,2.5661,0.3621,4.9767,-0.4783,3.1879,0.4078
1781766098579,1.1959,-1.6591,5.3406,-0.427,1.945,0.2909
1781766098619,-1.8964,-0.5439,2.0373,-0.9848,2.7376,0.2148
1781766098659,-4.0485,-4.0651,1.6511,-0.9425,4.5492,-1.4715
1781766098699,-5.3163,-5.4391,-6.5907,-0.3778,6.2838,-0.9308
1781766098739,5.8536,-0.8493,5.2574,-0.1146,4.3583,-0.4042
1781766098779,0.3903,3.0165,-0.5567,0.1284,3.9562,-0.2815
1781766098819,0.7613,2.7281,1.501,0.0639,4.0742,0.3687
1781766098860,0.679,2.8056,5.6427,0.6638,1.8692,0.4594
1781766098899,-1.0457,4.4291,1.677,0.4144,2.359,0.4541
1781766098939,-1.9588,-0.7087,0.6163,0.2084,2.7207,1.1016
1781766098978,-2.0637,-3.2426,-0.6941,-0.056,2.7976,1.5387
1781766099019,-1.3551,-0.7733,1.9585,-0.1764,3.2677,1.7227
1781766099060,1.6716,-1.7818,4.186,-0.147,3.4452,1.9295
1781766099099,3.264,-0.3541,4.4936,0.0072,1.9851,1.5165
1781766099139,2.5327,1.6617,3.2569,0.498,1.2623,1.2724
1781766099179,2.1349,1.6654,2.4419,0.6519,1.4502,1.1993
1781766099219,3.3734,0.9221,5.523,1.6721,1.403,0.724
1781766099259,3.1036,2.1006,3.8356,2.4894,1.2044,0.2539
1781766099299,0.941,-4.6952,-0.2021,2.5907,0.9553,0.181
1781766099340,1.6351,-4.0842,-1.4395,1.6412,0.4173,0.2875
1781766099379,1.6147,-3.339,-1.3696,1.2713,0.9618,-0.2411
1781766099418,1.1158,-3.5067,-3.1505,0.1752,1.0869,-0.3732
1781766099459,3.1384,0.6397,1.9091,-0.0637,1.444,-0.9373
1781766099499,1.4104,0.8763,3.2571,0.1768,2.42,-1.1834
1781766099539,-0.7846,1.1061,1.1645,0.5639,2.5889,-0.9639
1781766099579,0.2764,0.2587,0.4277,0.0941,2.7748,-0.8045
1781766099619,0.5895,-0.6356,-0.2824,0.0307,3.1481,-0.7067
1781766099659,0.6784,0.8156,2.0826,-0.0639,2.8915,-0.3353
1781766099700,1.9842,-0.5509,1.329,0.0471,2.3086,-0.2351
1781766099739,0.8943,0.1598,0.3737,0.0552,2.7213,-0.521
1781766099779,0.4963,1.0128,1.146,0.2649,2.8408,-0.4946
1781766099819,0.6011,-1.2027,1.2518,0.5444,1.9914,-0.4671
1781766099860,-0.545,0.702,-0.5406,0.5997,1.7181,-0.8074
1781766099899,0.8115,-3.0019,0.8335,-0.7985,1.044,-0.6176
1781766099939,-1.5832,-2.0785,-2.0342,-1.0282,0.6311,-1.3598
