timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1781765946661,0.5617,-0.1684,-0.7449,0.0727,0.4252,-0.0812
1781765946701,0.232,-0.2207,-1.1827,0.0727,0.4252,-0.0812
1781765946741,0.9718,-0.8395,-1.7938,0.4533,1.6915,0.0238
1781765946782,0.9371,-0.6148,-1.0453,0.8106,2.0995,-0.0959
1781765946821,4.0748,-1.0632,-3.73,1.1784,2.8283,-0.6475
1781765946861,2.1985,-1.1117,-3.2596,1.6408,4.1661,-2.4312
1781765946901,-0.4271,-1.4937,-1.5693,3.2119,6.149,-3.1502
1781765946941,-0.2741,-1.9511,-2.7906,5.9388,5.3219,-3.8698
1781765946982,-7.3012,-0.8093,-6.4176,4.6377,3.8478,-4.1197
1781765947021,-8.641,0.5269,-8.2372,3.6609,1.3592,-3.6102
1781765947061,-10.107,1.5495,-9.3255,2.328,0.2773,-2.97
1781765947101,-9.557,2.5827,-9.9216,1.6829,0.1655,-1.7501
1781765947141,-8.0148,2.6671,-8.5785,0.865,-0.5406,-1.0739
1781765947182,-8.5139,4.9044,-15.1353,0.2737,-0.5699,0.0806
1781765947221,-7.0052,3.0724,-4.7344,-0.9639,-0.766,0.9609
1781765947261,-3.3316,1.6294,-8.0128,0.6921,1.1558,1.1924
1781765947301,-1.2153,0.6362,-5.471,1.1735,1.504,0.661
1781765947342,-4.6803,4.0364,-6.3374,1.3561,1.0733,1.4496
1781765947382,3.7598,1.6622,-5.7805,0.752,1.4184,1.8118
1781765947422,5.9797,-0.8852,-5.6019,0.6799,1.3097,0.3842
1781765947461,0.1406,1.3506,-6.5106,0.2046,0.3604,-0.2205
1781765947501,-3.8195,-1.1986,-5.8528,-0.0409,-0.0794,-0.0916
1781765947541,-1.1168,-2.3523,-7.548,0.2346,0.4001,0.0214
1781765947581,1.5681,-0.2661,-7.1674,-0.1344,0.9071,-0.6267
1781765947621,0.6068,-1.664,-3.3152,-1.1576,-0.5186,-1.6738
1781765947661,-1.1932,-0.1051,-8.4663,-0.9756,-1.0837,-1.6145
1781765947701,0.2035,-0.2306,-7.2149,0.0629,0.1179,-1.4636
1781765947741,4.499,3.1436,-2.5664,-1.2828,-2.4557,-2.2156
1781765947781,-3.4869,-0.7987,-3.5689,-0.3696,-0.7825,-0.8949
1781765947821,-0.6625,-1.6942,-5.9801,0.4917,0.2107,-1.2254
1781765947861,-1.8545,-1.5542,-5.0835,0.5412,0.1399,-0.8522
1781765947901,-6.8677,-1.4887,-6.6362,0.3763,-0.1619,-0.2407
1781765947941,-5.6969,-2.6101,-6.2892,-0.1112,-0.4062,0.526
1781765947981,2.5041,1.8567,-6.2374,-0.5651,0.3067,-0.5993
1781765948021,-0.6573,3.1504,-5.6388,0.2926,0.0861,-0.2822
1781765948061,-1.4194,0.1044,-6.3043,0.5089,0.4704,0.2077
1781765948101,-1.4987,-1.3176,-7.0665,-0.3665,0.3952,0.0831
1781765948141,-0.3052,-1.4659,-6.9129,0.0574,0.6439,-0.2773
1781765948181,1.9127,3.9828,-7.9643,-0.6811,0.6689,-1.1069
1781765948221,1.8589,4.3373,-5.295,0.2981,0.5131,-1.4905
1781765948261,-0.5921,-0.5355,-5.8186,1.0311,1.1496,-1.0733
1781765948301,-1.0627,-0.6824,-4.8037,1.0892,0.2413,-0.7025
1781765948341,-2.0657,-5.294,-5.9306,0.6591,0.0501,0.1173
1781765948383,-1.1545,-6.1746,-7.5923,0.1533,0.1124,-0.5461
1781765948421,2.5722,-4.3768,-5.1117,1.0507,1.077,-3.0739
